kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,53836.0,996.0,653.0,32.0,46.0,144.0,4047.0,94045.04499999995,76284.03100000002,0.0,1.5252679938744258
NINJA,19709.0,403.0,527.0,1.0,21.0,2.0,28.0,27530.644,12456.838000000002,0.0,0.7647058823529411
MEDIC,5900.0,80.0,69.0,2.0,1.0,11.0,225.0,6788.407000000001,8589.114,1116.0,1.1594202898550725
SOLDIER,39655.0,558.0,480.0,12.0,63.0,78.0,3201.0,54002.11300000001,43367.459,0.0,1.1625
CHEMIST,235.0,4.0,4.0,1.0,1.0,1.0,38.0,201.711,174.427,0.0,1.0
MAGE,575.0,18.0,6.0,0.0,0.0,0.0,0.0,1552.801,1106.223,0.0,3.0
NECRO,29.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,51.718,0.0,NaN
ENGINEER,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
PYRO,982.0,13.0,18.0,0.0,4.0,0.0,0.0,886.907,967.565,0.0,0.7222222222222222
ELF,196.0,1.0,0.0,1.0,1.0,1.0,65.0,81.246,50.5,0.0,Inf
