kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
CHEMIST,89832.0,1629.0,1437.0,49.0,54.0,309.0,7369.0,82927.06900000002,112225.876,0.0,1.1336116910229646
NINJA,29752.0,554.0,1000.0,3.0,70.0,22.0,624.0,47637.47300000003,24910.597999999998,0.0,0.554
HEAVY,98924.0,367.0,241.0,13.0,11.0,77.0,1670.0,26410.90899999999,28670.905,0.0,1.5228215767634854
MAGE,4450.0,54.0,60.0,0.0,0.0,6.0,27.0,3938.483,3911.9980000000005,0.0,0.9
NECRO,89.0,0.0,2.0,0.0,0.0,0.0,0.0,228.111,108.11500000000001,0.0,0.0
MEDIC,29031.0,393.0,416.0,13.0,9.0,83.0,1248.0,19768.486000000004,41251.577999999994,15978.0,0.9447115384615384
SOLDIER,27371.0,439.0,418.0,13.0,16.0,106.0,2102.0,24651.985000000004,30969.076000000005,0.0,1.0502392344497609
PYRO,19453.0,432.0,181.0,0.0,104.0,1.0,23.0,19262.988,12928.3,0.0,2.386740331491713
ASSASSIN,1151.0,19.0,30.0,0.0,2.0,0.0,0.0,453.27,598.3580000000001,0.0,0.6333333333333333
ELF,2659.0,45.0,44.0,0.0,0.0,11.0,184.0,1739.3270000000002,2924.1019999999994,0.0,1.0227272727272727
ENGINEER,1035.0,6.0,4.0,0.0,0.0,0.0,0.0,512.251,239.149,0.0,1.5
DWARF,24.0,1.0,1.0,0.0,0.0,0.0,0.0,34.163,30.0,0.0,1.0
ARCHER,108.0,1.0,3.0,0.0,0.0,0.0,0.0,22.892,86.679,0.0,0.3333333333333333
