kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
CHEMIST,20864.0,458.0,241.0,4.0,16.0,26.0,292.0,25443.791,23076.681000000004,0.0,1.900414937759336
ARCHER,2038.0,13.0,18.0,0.0,0.0,1.0,48.0,471.49,216.85,0.0,0.7222222222222222
NINJA,15679.0,191.0,235.0,0.0,32.0,1.0,88.0,14528.133,6911.246000000002,0.0,0.8127659574468085
HEAVY,3819.0,6.0,5.0,4.0,3.0,5.0,349.0,1570.3729999999998,1274.9119999999998,0.0,1.2
SOLDIER,2350.0,18.0,9.0,0.0,8.0,1.0,25.0,2267.685,1008.213,0.0,2.0
ENGINEER,1111.0,4.0,1.0,0.0,0.0,0.0,0.0,476.41200000000003,186.28,0.0,4.0
PYRO,7847.0,124.0,55.0,0.0,22.0,0.0,82.0,5466.814,4985.188999999999,0.0,2.2545454545454544
ELF,780.0,3.0,5.0,0.0,1.0,1.0,71.0,384.118,488.361,0.0,0.6
MEDIC,3317.0,12.0,4.0,0.0,1.0,3.0,493.0,720.139,1220.469,571.0,3.0
MAGE,991.0,9.0,7.0,0.0,1.0,2.0,24.0,767.857,424.84299999999996,0.0,1.2857142857142858
NECRO,330.0,1.0,1.0,0.0,1.0,0.0,0.0,48.86,64.319,0.0,1.0
DWARF,198.0,1.0,1.0,0.0,0.0,0.0,0.0,78.469,43.0,0.0,1.0
ASSASSIN,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,NaN
SCOUT,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.899,0.0,NaN
