kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MAGE,79048.0,694.0,845.0,17.0,45.0,180.0,8726.0,62781.60500000001,60027.19000000002,0.0,0.821301775147929
CHEMIST,136436.0,2537.0,2247.0,64.0,47.0,595.0,15464.0,155444.88100000002,229679.41099999982,0.0,1.1290609701824654
MEDIC,108410.0,1451.0,1585.0,23.0,29.0,282.0,4913.0,59404.191000000006,163699.37399999992,37880.0,0.9154574132492114
PYRO,75350.0,1165.0,892.0,3.0,229.0,24.0,254.0,56994.942,67768.34300000001,0.0,1.3060538116591929
SOLDIER,55408.0,518.0,728.0,43.0,34.0,305.0,11457.0,34313.578,65215.700999999965,0.0,0.7115384615384616
NINJA,129573.0,2042.0,4146.0,20.0,235.0,99.0,1934.0,196914.48699999996,105877.26200000003,0.0,0.49252291365171247
HEAVY,92220.0,801.0,513.0,18.0,26.0,158.0,3236.0,60363.696,61618.82699999998,0.0,1.5614035087719298
ASSASSIN,13182.0,203.0,288.0,0.0,30.0,14.0,155.0,5606.338000000001,6553.928999999999,0.0,0.7048611111111112
NECRO,810.0,16.0,15.0,1.0,1.0,3.0,24.0,662.2639999999999,1060.414,0.0,1.0666666666666667
ELF,212793.0,1950.0,3478.0,153.0,26.0,1436.0,35800.0,93100.55599999992,266124.577,0.0,0.5606670500287522
ENGINEER,1401.0,5.0,8.0,0.0,0.0,1.0,10.0,407.136,398.765,0.0,0.625
DWARF,1232.0,1.0,9.0,0.0,1.0,2.0,125.0,366.094,889.872,0.0,0.1111111111111111
ARCHER,49300.0,1308.0,663.0,2.0,4.0,9.0,204.0,33822.166,36703.23099999999,0.0,1.9728506787330318
FASHIONISTA,1268.0,0.0,1.0,0.0,0.0,0.0,0.0,64.0,72.55,0.0,0.0
SCOUT,7255.0,101.0,215.0,0.0,6.0,25.0,65.0,6135.647999999999,8110.411,0.0,0.4697674418604651
