kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
ARCHER,173357.0,4459.0,1734.0,3.0,11.0,6.0,373.0,109419.85699999997,98410.42400000009,0.0,2.571510957324106
HEAVY,31548.0,341.0,252.0,1.0,25.0,27.0,262.0,34183.147000000004,30438.51100000001,0.0,1.3531746031746033
PYRO,53359.0,679.0,467.0,2.0,166.0,1.0,21.0,38283.09400000001,39885.575000000004,0.0,1.4539614561027838
MEDIC,15974.0,112.0,135.0,0.0,12.0,10.0,175.0,8351.756,15486.444,6988.0,0.8296296296296296
NINJA,5242.0,36.0,138.0,0.0,14.0,0.0,31.0,4640.384,3450.299,0.0,0.2608695652173913
MAGE,3075.0,7.0,29.0,0.0,1.0,0.0,2.0,1332.488,1480.772,0.0,0.2413793103448276
CHEMIST,575.0,2.0,9.0,0.0,0.0,0.0,0.0,68.43900000000001,139.52499999999998,0.0,0.2222222222222222
SOLDIER,10601.0,87.0,126.0,0.0,11.0,11.0,432.0,9968.338,10670.564,0.0,0.6904761904761905
NECRO,248.0,1.0,4.0,0.0,0.0,0.0,0.0,137.499,262.655,0.0,0.25
ELF,231.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,102.84,0.0,Inf
