kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,173043.0,3962.0,1539.0,15.0,191.0,196.0,6263.0,315041.54699999996,228899.727,0.0,2.574398960363873
CHEMIST,56350.0,1042.0,743.0,17.0,38.0,129.0,2646.0,69249.629,69392.008,0.0,1.4024226110363391
NINJA,42040.0,1126.0,1566.0,2.0,40.0,13.0,148.0,89053.10699999996,41487.060000000005,0.0,0.719029374201788
SOLDIER,72556.0,1108.0,947.0,28.0,55.0,259.0,8126.0,77839.46100000002,86603.13100000001,0.0,1.1700105596620909
ASSASSIN,8187.0,187.0,193.0,0.0,12.0,3.0,78.0,5875.2210000000005,4655.071,0.0,0.9689119170984456
MAGE,2899.0,20.0,16.0,1.0,5.0,3.0,156.0,1543.628,831.4079999999999,0.0,1.25
ENGINEER,2161.0,25.0,18.0,0.0,3.0,0.0,97.0,1776.994,1696.179,0.0,1.3888888888888888
MEDIC,45217.0,612.0,486.0,5.0,24.0,50.0,993.0,35414.75499999999,55020.99600000001,28250.0,1.2592592592592593
PYRO,9734.0,148.0,84.0,0.0,26.0,1.0,163.0,7547.979000000001,6703.339,0.0,1.7619047619047619
DWARF,148.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.119,0.0,0.0
ELF,1057.0,11.0,13.0,0.0,0.0,2.0,20.0,649.017,833.082,0.0,0.8461538461538461
ARCHER,3059.0,66.0,19.0,0.0,0.0,0.0,0.0,1878.0720000000001,1221.051,0.0,3.473684210526316
NECRO,17245.0,354.0,146.0,1.0,20.0,7.0,107.0,23966.117999999995,20444.383,2564.0,2.4246575342465753
SCOUT,2198.0,41.0,61.0,0.0,0.0,0.0,0.0,3303.6179999999995,2644.962,0.0,0.6721311475409836
