kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
HEAVY,10735.0,97.0,69.0,2.0,4.0,4.0,291.0,8976.562,9200.8,0.0,1.4057971014492754
SOLDIER,11402.0,133.0,172.0,3.0,2.0,41.0,1034.0,10483.205999999998,15904.528,0.0,0.7732558139534884
CHEMIST,43003.0,662.0,738.0,6.0,10.0,60.0,1340.0,46930.185000000005,63184.28599999998,0.0,0.8970189701897019
ELF,2539.0,12.0,41.0,1.0,0.0,5.0,272.0,965.4350000000001,2824.0040000000004,0.0,0.2926829268292683
MEDIC,58644.0,464.0,524.0,1.0,41.0,33.0,484.0,28156.154000000013,58710.889999999985,64658.0,0.8854961832061069
NINJA,2345.0,42.0,107.0,0.0,4.0,1.0,9.0,4360.036999999999,2583.584,0.0,0.3925233644859813
ARCHER,953.0,10.0,14.0,0.0,0.0,0.0,0.0,372.206,877.1879999999999,0.0,0.7142857142857143
PYRO,5729.0,102.0,82.0,0.0,7.0,3.0,66.0,5083.37,5813.996,0.0,1.2439024390243902
SCOUT,2211.0,20.0,66.0,0.0,0.0,9.0,32.0,1885.604,2345.926,0.0,0.30303030303030304
MAGE,1732.0,11.0,25.0,0.0,0.0,0.0,0.0,1098.619,1122.348,0.0,0.44
