kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NINJA,400293.0,9983.0,16200.0,29.0,1160.0,241.0,2174.0,997556.5590000007,421881.7070000001,0.0,0.6162345679012345
HEAVY,60849.0,615.0,274.0,15.0,31.0,68.0,1952.0,49348.28000000001,37121.44899999999,0.0,2.2445255474452557
CHEMIST,26256.0,452.0,374.0,10.0,10.0,71.0,2365.0,25393.258000000005,29817.982999999993,0.0,1.2085561497326203
ASSASSIN,259822.0,8310.0,6832.0,6.0,909.0,123.0,853.0,231852.97400000013,168589.67499999996,0.0,1.2163348946135832
MEDIC,15749.0,190.0,147.0,1.0,10.0,18.0,413.0,8810.959,15825.828000000001,7772.0,1.2925170068027212
PYRO,18818.0,339.0,180.0,0.0,57.0,0.0,14.0,16008.498,13893.112,0.0,1.8833333333333333
SOLDIER,51974.0,518.0,581.0,33.0,38.0,260.0,10178.0,39391.367,54338.924000000006,0.0,0.891566265060241
MAGE,61838.0,821.0,681.0,2.0,13.0,28.0,521.0,63588.269000000015,41571.08,0.0,1.2055800293685757
ELF,47211.0,444.0,469.0,32.0,8.0,157.0,4949.0,21674.431,39983.428,0.0,0.9466950959488273
ARCHER,95267.0,3043.0,1000.0,0.0,3.0,8.0,482.0,74709.069,59592.93599999998,0.0,3.043
ENGINEER,383.0,3.0,6.0,0.0,0.0,0.0,0.0,319.09799999999996,554.831,0.0,0.5
NECRO,3035.0,52.0,17.0,1.0,1.0,2.0,125.0,2071.047,1793.0899999999997,363.0,3.0588235294117645
FASHIONISTA,319.0,3.0,7.0,0.0,0.0,0.0,0.0,406.26,411.066,0.0,0.42857142857142855
DWARF,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
SCOUT,3786.0,44.0,67.0,0.0,2.0,11.0,65.0,2140.044,2440.475,0.0,0.6567164179104478
