kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
PYRO,7958.0,142.0,65.0,1.0,51.0,0.0,4.0,6787.559,6874.497,0.0,2.1846153846153844
NINJA,63408.0,947.0,2700.0,7.0,194.0,71.0,393.0,124331.53300000001,66411.23300000002,0.0,0.35074074074074074
HEAVY,49396.0,827.0,706.0,2.0,69.0,109.0,1102.0,80545.20299999998,89294.00499999999,0.0,1.1713881019830028
SOLDIER,101219.0,1098.0,1434.0,36.0,152.0,477.0,6825.0,102734.849,139083.543,0.0,0.7656903765690377
CHEMIST,42408.0,897.0,923.0,13.0,13.0,185.0,1686.0,53563.19000000001,87564.43399999998,0.0,0.971830985915493
MEDIC,2278.0,14.0,28.0,0.0,6.0,0.0,173.0,2000.8509999999999,2690.8289999999997,2510.0,0.5
ASSASSIN,5291.0,119.0,168.0,0.0,34.0,1.0,1.0,3803.4149999999995,3957.3860000000004,0.0,0.7083333333333334
NECRO,18275.0,277.0,210.0,1.0,32.0,13.0,175.0,25699.594999999994,25983.345,0.0,1.319047619047619
SCOUT,107112.0,929.0,2429.0,2.0,189.0,83.0,299.0,98336.30900000001,99022.71100000002,0.0,0.38246191848497324
ARCHER,3048.0,75.0,54.0,0.0,0.0,0.0,0.0,2819.505,3633.1020000000003,0.0,1.3888888888888888
ELF,5926.0,34.0,98.0,2.0,2.0,18.0,154.0,2675.828,5426.864000000002,0.0,0.3469387755102041
MAGE,964.0,9.0,13.0,0.0,0.0,0.0,0.0,1152.239,862.467,0.0,0.6923076923076923
ENGINEER,1325.0,20.0,22.0,0.0,1.0,2.0,9.0,1314.149,1586.7399999999998,0.0,0.9090909090909091
