kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
NECRO,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
NINJA,30047.0,564.0,1005.0,2.0,67.0,21.0,274.0,52508.411000000015,27615.173999999995,0.0,0.5611940298507463
HEAVY,19985.0,153.0,102.0,3.0,9.0,30.0,1129.0,11959.298999999997,14483.508,0.0,1.5
ELF,1635.0,3.0,6.0,1.0,0.0,0.0,66.0,272.624,451.635,0.0,0.5
DWARF,685.0,5.0,5.0,0.0,0.0,3.0,27.0,298.687,332.939,0.0,1.0
PYRO,8857.0,165.0,117.0,0.0,23.0,0.0,5.0,7086.04,7502.323999999999,0.0,1.4102564102564104
ENGINEER,488.0,2.0,5.0,0.0,0.0,1.0,33.0,381.23900000000003,212.993,0.0,0.4
CHEMIST,79643.0,1884.0,1582.0,31.0,19.0,324.0,5026.0,89915.70199999999,134163.97199999995,0.0,1.190897597977244
MEDIC,8944.0,130.0,134.0,2.0,1.0,21.0,297.0,5484.041999999999,11046.161999999998,5153.0,0.9701492537313433
SOLDIER,12850.0,165.0,198.0,9.0,7.0,62.0,1261.0,9590.728000000001,16533.25,0.0,0.8333333333333334
ASSASSIN,2755.0,49.0,71.0,0.0,0.0,3.0,99.0,1104.982,1531.536,0.0,0.6901408450704225
MAGE,239.0,6.0,7.0,0.0,0.0,1.0,35.0,106.6,384.499,0.0,0.8571428571428571
ARCHER,2719.0,51.0,52.0,0.0,0.0,0.0,0.0,1725.3770000000004,2706.8830000000003,0.0,0.9807692307692307
