kit_type,playtime,kills,deaths,flags_captured,flags_recovered,flags_stolen,time_with_flag,damage_dealt,damage_received,hp_restored,kdr
MEDIC,1.869152e6,22117.0,20867.0,163.0,496.0,1077.0,35248.0,862001.2460000003,2.2908362800000007e6,1.472806e6,1.0599031964345618
PYRO,35635.0,671.0,245.0,0.0,124.0,1.0,22.0,20863.039999999994,23140.066,0.0,2.7387755102040816
HEAVY,83697.0,66.0,31.0,0.0,5.0,7.0,21.0,3971.52,4244.215999999999,0.0,2.129032258064516
SOLDIER,18686.0,113.0,146.0,11.0,12.0,55.0,2600.0,6515.154999999999,12241.480000000001,0.0,0.773972602739726
ASSASSIN,2763.0,53.0,59.0,0.0,10.0,0.0,7.0,1300.3310000000001,1335.446,0.0,0.8983050847457628
NINJA,11997.0,67.0,209.0,0.0,17.0,16.0,262.0,7009.770000000001,6039.196,0.0,0.32057416267942584
CHEMIST,12008.0,59.0,62.0,1.0,3.0,1.0,8.0,2470.8269999999998,2030.6940000000002,0.0,0.9516129032258065
ARCHER,563.0,13.0,5.0,0.0,0.0,0.0,0.0,341.18399999999997,215.11,0.0,2.6
MAGE,183.0,3.0,2.0,0.0,0.0,0.0,0.0,176.976,109.303,0.0,1.5
ELF,2994.0,16.0,12.0,1.0,8.0,1.0,45.0,702.408,593.298,0.0,1.3333333333333333
ENGINEER,218.0,0.0,2.0,0.0,0.0,0.0,0.0,76.5,75.019,0.0,0.0
NECRO,225.0,3.0,4.0,0.0,0.0,0.0,0.0,195.082,225.131,0.0,0.75
FASHIONISTA,1914.0,0.0,2.0,0.0,0.0,1.0,2.0,26.0,122.289,0.0,0.0
SCOUT,119.0,3.0,4.0,0.0,0.0,0.0,0.0,35.5,94.328,0.0,0.75
DWARF,220.0,2.0,1.0,0.0,0.0,0.0,0.0,223.216,357.493,0.0,2.0
